elementID,X172216,X308621,X104198,X308622,X104203,X198042,X203791,X203338,X346698,X346695,X144267,X128128,X59229,X308631,X94515,X308633,X193768,X70677,X201301,X201301,X346692,X104223,X104225,X104200,X67858,X240014,X193774,X308635,X140851,X203310
X19.6400,0.002503852,0.000577812,0.05046225,0.004622496,0.019838213,0.030238829,0.051617874,0.049691834,0.000770416,0.008089368,0.020993837,0.018682589,0.038135593,0.00096302,0.066255778,0.001348228,1,0.037942989,0.130392912,0.073767334,0.000385208,0.065677966,0.017334361,0.029468413,0.006163328,0,0.105354391,0.035439137,0.00192604,0
X19.6405,0.002503852,0.000577812,0.05046225,0.004622496,0.019838213,0.030238829,0.051617874,0.049691834,0.000770416,0.008089368,0.020993837,0.018682589,0.038135593,0.00096302,0.066255778,0.001348228,1,0.037942989,0.130392912,0.073767334,0.000385208,0.065677966,0.017334361,0.029468413,0.006163328,0,0.105354391,0.035439137,0.00192604,0
X19.8500,0.372570229,0.009646972,0.484391776,0.03155297,0.386736215,0.097214877,0.17249972,0.407400285,0.014750893,0.056936365,0.07800907,0.123367466,0.187162476,0.003902056,0.110819993,0.026873708,0.802677756,0.247536176,0,0,0.002980626,0.345584347,0.216167492,0.287830713,1,0.06682371,0.460402545,0.047922376,0.019966989,0.158894604
X19.8505,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0,0,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X19.8506,0.36045451,0,0.25349772,0,0.225168122,0.094133107,0.171059751,0.395369869,0,0,0.075465718,0.050537219,0.184532736,0,0.107235062,0,0.625600989,0.2265904,0.198059828,0.159642885,0,0.252531499,0.170997913,0.133485352,1,0.069034552,0.374035712,0,0.019625879,0.156512329
X19.6110,0.60975775,0,0.004891069,0,0.444396271,0,0.024401149,0,0,0,0.003197485,0.095450358,0,0,0.067106547,0,0.562635487,0.310318665,0,0,0,0.007939519,0.003414264,0.008413722,1,0,0.220707782,0,0.004823325,0
X19.6115,0.60975775,0,0.004891069,0,0.444396271,0,0.024401149,0,0,0,0.003197485,0.095450358,0,0,0.067106547,0,0.562635487,0.310318665,0,0,0,0.007939519,0.003414264,0.008413722,1,0,0.220707782,0,0.004823325,0
X19.6120,0.158670826,0,0.274723334,0,0.228396515,0,0,0,0,0,0.078732046,0.074464328,0,0,0.011154933,0,1,0.189221804,0,0,0,0.190722863,0.050094184,0.233194019,0.518130445,0,0.404609136,0,0.01053685,0
X19.6125,0.158670826,0,0.274723334,0,0.228396515,0,0,0,0,0,0.078732046,0.074464328,0,0,0.011154933,0,1,0.189221804,0,0,0,0.190722863,0.050094184,0.233194019,0.518130445,0,0.404609136,0,0.01053685,0
X19.6200,0,0,0.710049332,0,1,0,0.031095837,0,0,0,0,0.033867302,0,0,0,0,0,0.4576243,0,0,0,0.371265451,0.231417327,0.384901059,0.072168949,0,0,0,0.005321213,0
X19.6205,0,0,0.710049332,0,1,0,0.031095837,0,0,0,0,0.033867302,0,0,0,0,0,0.4576243,0,0,0,0.371265451,0.231417327,0.384901059,0.072168949,0,0,0,0.005321213,0
X19.6130,0.023809524,0,0.095238095,0,0,0,0.023809524,0.023809524,0,0,0,0,0,0,0,0,1,0,0.047619048,0,0,0.023809524,0.023809524,0.142857143,0,0,0.214285714,0,0,0
X19.6135,0.023809524,0,0.095238095,0,0,0,0.023809524,0.023809524,0,0,0,0,0,0,0,0,1,0,0.047619048,0,0,0.023809524,0.023809524,0.142857143,0,0,0.214285714,0,0,0
X19.19,0.363152199,0.009484425,0.479276494,0.036917369,0.387825616,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0.200123676,0.161814949,0.003014609,0.350892788,0.213511633,0.290074979,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X20.6100,0.040354331,0.015748031,0.738681102,0.069389764,0.518208661,0.159940945,0.42765748,0.489173228,0.047244094,0.132874016,0.001968504,0.119094488,0.152559055,0.00984252,0.438976378,0.041830709,0.673720472,1,0.605314961,0.489665354,0.005905512,0.534940945,0.352854331,0.539862205,0.016732283,0,0.361712598,0.102362205,0.017224409,0.00738189
X20.6105,0.040354331,0.015748031,0.738681102,0.069389764,0.518208661,0.159940945,0.42765748,0.489173228,0.047244094,0.132874016,0.001968504,0.119094488,0.152559055,0.00984252,0.438976378,0.041830709,0.673720472,1,0.605314961,0.489665354,0.005905512,0.534940945,0.352854331,0.539862205,0.016732283,0,0.361712598,0.102362205,0.017224409,0.00738189
X20.6140,0.008695652,0,0.060869565,0.052173913,0.017391304,0.026086957,0.095652174,0.069565217,0.026086957,0.043478261,0.026086957,0.008695652,0.017391304,0,0.104347826,0.034782609,1,0.043478261,0.130434783,0.07826087,0,0.07826087,0.086956522,0.060869565,0.017391304,0.060869565,0.095652174,0.026086957,0,0.017391304
X20.6145,0.008695652,0,0.060869565,0.052173913,0.017391304,0.026086957,0.095652174,0.069565217,0.026086957,0.043478261,0.026086957,0.008695652,0.017391304,0,0.104347826,0.034782609,1,0.043478261,0.130434783,0.07826087,0,0.07826087,0.086956522,0.060869565,0.017391304,0.060869565,0.095652174,0.026086957,0,0.017391304
X20.6265,0.006587615,0.005928854,0.028985507,0.057312253,0.028985507,0.022397892,1,0.055335968,0.006587615,0.032938076,0.003293808,0.007246377,0.018445323,0.001317523,0.005270092,0.007905138,0.117918314,0.038208169,0.084321476,0.043478261,0,0.019762846,0.007905138,0.042819499,0.006587615,0.000658762,0.100790514,0.016469038,0.000658762,0.003952569
X20.6270,0.006587615,0.005928854,0.028985507,0.057312253,0.028985507,0.022397892,1,0.055335968,0.006587615,0.032938076,0.003293808,0.007246377,0.018445323,0.001317523,0.005270092,0.007905138,0.117918314,0.038208169,0.084321476,0.043478261,0,0.019762846,0.007905138,0.042819499,0.006587615,0.000658762,0.100790514,0.016469038,0.000658762,0.003952569
X20.6275,0.025477707,0.044585987,0.159235669,0.401273885,0.159235669,0.159235669,0.732484076,0.50955414,0,0.184713376,0.031847134,0.050955414,0.140127389,0.006369427,0.006369427,0.076433121,1,0.210191083,0.292993631,0.127388535,0,0.127388535,0.057324841,0.292993631,0.050955414,0.006369427,0.872611465,0.076433121,0.006369427,0.038216561
X20.6280,0.025477707,0.044585987,0.159235669,0.401273885,0.159235669,0.159235669,0.732484076,0.50955414,0,0.184713376,0.031847134,0.050955414,0.140127389,0.006369427,0.006369427,0.076433121,1,0.210191083,0.292993631,0.127388535,0,0.127388535,0.057324841,0.292993631,0.050955414,0.006369427,0.872611465,0.076433121,0.006369427,0.038216561
X20.6325,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0,0,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X20.8500,0.372570229,0.009646972,0.484391776,0.03155297,0.386736215,0.097214877,0.17249972,0.407400285,0.014750893,0.056936365,0.07800907,0.123367466,0.187162476,0.003902056,0.110819993,0.026873708,0.802677756,0.247536176,0,0,0.002980626,0.345584347,0.216167492,0.287830713,1,0.06682371,0.460402545,0.047922376,0.019966989,0.158894604
X20.8505,0.363152199,0.009484425,0.47607637,0.036917369,0.383891165,0.095756358,0.173958414,0.395369869,0.014732937,0.058158769,0.075581665,0.12193708,0.184532736,0.003957641,0.107235062,0.027479323,0.794156296,0.248133261,0,0,0.003014609,0.347746773,0.210929891,0.288343511,1,0.069034552,0.45648914,0.052678364,0.019625879,0.156512329
X20.8506,0.36045451,0,0.25349772,0,0.225168122,0.094133107,0.171059751,0.395369869,0,0,0.075465718,0.050537219,0.184532736,0,0.107235062,0,0.625600989,0.2265904,0.198059828,0.159642885,0,0.252531499,0.170997913,0.133485352,1,0.069034552,0.374035712,0,0.019625879,0.156512329
X20.6110,0.60975775,0,0.004891069,0,0.444396271,0,0.024401149,0,0,0,0.003197485,0.095450358,0,0,0.067106547,0,0.562635487,0.310318665,0,0,0,0.007939519,0.003414264,0.008413722,1,0,0.220707782,0,0.004823325,0
X20.6115,0.60975775,0,0.004891069,0,0.444396271,0,0.024401149,0,0,0,0.003197485,0.095450358,0,0,0.067106547,0,0.562635487,0.310318665,0,0,0,0.007939519,0.003414264,0.008413722,1,0,0.220707782,0,0.004823325,0
X20.6120,0.158670826,0,0.274723334,0,0.228396515,0,0,0,0,0,0.078732046,0.074464328,0,0,0.011154933,0,1,0.189221804,0,0,0,0.190722863,0.050094184,0.233194019,0.518130445,0,0.404609136,0,0.01053685,0
